Date,Time,Product ID,Quantity
20-09-16,1:43:00 PM,12,5
10-05-14,3:26:00 PM,55,9
14-06-13,1:31:00 PM,22,1
28-11-13,10:36:00 AM,40,2
23-12-16,12:10:00 PM,50,3
15-06-16,10:13:00 AM,2,1
25-06-15,3:29:00 PM,47,6
23-10-14,2:33:00 PM,51,9
26-05-13,9:35:00 AM,31,9
16-11-14,2:35:00 PM,48,3
10-01-13,10:38:00 AM,26,6
05-01-15,2:05:00 PM,7,9
08-03-14,10:04:00 AM,27,6
19-08-13,2:09:00 PM,48,6
25-12-16,12:10:00 PM,53,8
21-02-15,10:42:00 AM,8,10
26-02-14,9:52:00 AM,44,8
24-05-14,11:09:00 AM,25,5
30-08-16,12:41:00 PM,15,4
24-09-16,4:03:00 PM,12,1
08-03-15,3:17:00 PM,20,8
09-12-13,2:05:00 PM,43,8
14-01-16,12:22:00 PM,10,8
19-04-13,3:44:00 PM,12,9
19-08-13,3:58:00 PM,27,5
30-03-16,10:14:00 AM,30,2
16-03-16,1:37:00 PM,28,5
05-05-16,4:43:00 PM,43,5
10-09-16,11:37:00 AM,57,3
09-05-13,10:01:00 AM,55,2
09-11-16,12:40:00 PM,54,4
15-07-15,1:34:00 PM,22,6
18-04-14,11:41:00 AM,34,6
28-06-16,11:49:00 AM,1,1
16-06-16,4:32:00 PM,5,9
09-08-16,10:15:00 AM,10,9
01-07-15,4:55:00 PM,49,4
27-12-13,1:40:00 PM,24,4
14-08-16,3:11:00 PM,9,8
20-05-14,2:56:00 PM,7,2
23-09-16,11:49:00 AM,32,1
30-07-15,12:17:00 PM,51,9
24-04-14,4:18:00 PM,15,5
10-08-14,12:47:00 PM,7,4
05-08-13,2:22:00 PM,57,6
01-07-13,2:21:00 PM,23,9
26-12-14,10:55:00 AM,16,2
09-12-13,9:10:00 AM,37,5
20-01-17,9:32:00 AM,3,7
02-10-13,1:28:00 PM,46,9
02-06-14,9:12:00 AM,53,9
17-10-16,4:49:00 PM,34,6
18-02-15,9:03:00 AM,52,10
18-10-15,10:54:00 AM,10,7
22-11-13,1:15:00 PM,31,10
18-01-16,3:44:00 PM,37,4
24-03-15,1:33:00 PM,1,3
10-03-14,10:01:00 AM,3,6
11-12-15,4:41:00 PM,40,2
07-06-16,1:11:00 PM,18,5
14-01-17,1:03:00 PM,39,8
08-01-14,4:56:00 PM,24,2
13-04-16,2:00:00 PM,3,4
18-07-14,2:56:00 PM,44,6
26-10-13,1:18:00 PM,6,8
09-10-15,10:47:00 AM,12,4
29-04-13,12:56:00 PM,37,4
27-10-15,2:23:00 PM,28,8
20-08-14,12:25:00 PM,56,7
21-12-14,4:05:00 PM,48,3
27-09-16,3:13:00 PM,14,7
01-11-13,9:40:00 AM,42,1
18-05-13,9:48:00 AM,40,8
11-08-16,11:30:00 AM,41,7
08-03-16,3:21:00 PM,24,4
02-10-14,12:13:00 PM,25,2
27-03-13,9:09:00 AM,43,7
13-04-14,12:13:00 PM,45,7
03-01-15,2:52:00 PM,53,6
09-05-16,9:58:00 AM,25,1
12-06-13,11:44:00 AM,39,8
12-09-15,3:31:00 PM,56,5
02-01-15,3:36:00 PM,54,9
12-12-13,4:45:00 PM,46,7
12-03-16,2:46:00 PM,11,8
09-01-16,10:22:00 AM,21,5
10-02-15,1:40:00 PM,6,5
30-04-14,3:03:00 PM,30,4
12-04-15,1:57:00 PM,20,9
23-07-14,10:21:00 AM,9,8
23-05-16,3:47:00 PM,12,10
27-03-14,11:22:00 AM,14,2
02-12-13,10:57:00 AM,20,3
25-12-14,2:38:00 PM,42,8
21-04-13,3:59:00 PM,10,1
08-08-15,9:50:00 AM,40,4
23-09-15,11:19:00 AM,8,6
01-05-16,3:02:00 PM,17,2
17-02-16,12:20:00 PM,18,6
30-06-13,4:22:00 PM,55,3
14-06-16,3:31:00 PM,4,3
30-08-14,9:36:00 AM,29,7
18-10-16,9:24:00 AM,15,8
18-04-14,1:17:00 PM,48,9
20-01-13,2:51:00 PM,34,6
04-09-16,2:13:00 PM,31,7
24-05-15,3:05:00 PM,32,1
03-02-14,10:52:00 AM,28,5
05-02-14,12:15:00 PM,12,1
27-12-16,4:37:00 PM,34,1
24-07-15,1:07:00 PM,7,4
10-10-13,10:08:00 AM,18,2
13-03-13,1:54:00 PM,47,4
18-06-15,12:41:00 PM,8,9
16-12-14,1:25:00 PM,53,7
14-05-14,3:44:00 PM,52,2
04-09-13,10:07:00 AM,37,10
03-04-14,9:56:00 AM,12,5
12-10-13,11:27:00 AM,47,9
03-06-15,3:29:00 PM,52,9
25-09-15,9:31:00 AM,53,3
11-11-16,11:10:00 AM,31,5
05-12-15,1:43:00 PM,37,8
05-10-13,12:12:00 PM,44,9
31-08-16,10:21:00 AM,2,6
03-01-15,12:04:00 PM,6,7
26-10-14,3:19:00 PM,57,10
22-04-16,1:14:00 PM,33,10
02-10-14,12:08:00 PM,7,10
27-10-13,12:14:00 PM,49,3
20-09-14,9:00:00 AM,55,3
09-02-14,1:45:00 PM,43,5
06-01-15,11:52:00 AM,49,10
28-03-16,11:09:00 AM,13,6
29-11-16,11:32:00 AM,21,5
29-03-14,11:09:00 AM,47,8
01-03-14,2:01:00 PM,22,1
31-12-15,9:40:00 AM,30,4
06-10-16,12:06:00 PM,26,8
27-11-13,10:29:00 AM,17,5
21-10-16,12:16:00 PM,24,8
16-06-13,2:26:00 PM,21,7
24-12-14,3:17:00 PM,51,3
06-06-15,4:36:00 PM,48,8
15-09-16,2:02:00 PM,50,1
14-03-13,3:49:00 PM,38,5
05-08-16,11:28:00 AM,41,6
10-10-14,11:34:00 AM,37,3
18-03-14,1:37:00 PM,56,1
25-04-15,11:34:00 AM,14,8
24-05-15,12:29:00 PM,55,4
24-01-13,12:00:00 PM,34,6
13-12-13,9:45:00 AM,43,2
02-03-14,11:10:00 AM,57,7
06-04-13,1:46:00 PM,53,7
08-01-13,12:28:00 PM,54,10
22-12-16,2:57:00 PM,55,5
30-05-15,4:32:00 PM,21,2
30-09-13,11:59:00 AM,57,10
19-05-13,9:10:00 AM,38,10
14-05-14,4:47:00 PM,21,5
30-07-16,3:31:00 PM,52,1
17-05-13,12:32:00 PM,44,2
01-02-15,12:32:00 PM,42,4
06-07-14,9:04:00 AM,22,5
28-06-16,10:36:00 AM,5,2
16-07-13,12:19:00 PM,21,3
28-07-13,9:31:00 AM,6,4
13-10-15,9:34:00 AM,36,3
08-06-15,3:13:00 PM,31,6
21-12-15,11:51:00 AM,40,8
05-04-16,2:50:00 PM,39,8
20-09-13,3:38:00 PM,37,10
19-02-15,3:40:00 PM,24,10
10-08-15,2:41:00 PM,18,2
22-09-13,2:15:00 PM,23,8
27-02-15,9:00:00 AM,6,3
13-08-16,10:05:00 AM,18,3
06-02-16,12:04:00 PM,54,1
01-02-15,3:59:00 PM,21,10
19-06-15,12:38:00 PM,5,6
08-04-15,10:43:00 AM,57,6
16-08-13,11:37:00 AM,39,7
07-04-16,4:21:00 PM,35,1
29-01-14,3:46:00 PM,55,5
03-10-14,2:56:00 PM,10,9
08-04-16,1:15:00 PM,50,5
17-05-15,9:12:00 AM,26,1
20-06-14,11:55:00 AM,34,2
05-03-14,12:05:00 PM,6,4
06-11-15,1:18:00 PM,12,7
31-05-16,2:58:00 PM,26,5
13-02-16,10:04:00 AM,6,2
17-05-16,4:52:00 PM,36,1
20-12-13,11:33:00 AM,48,10
29-05-13,1:57:00 PM,27,2
23-06-13,9:22:00 AM,38,4
20-05-14,3:31:00 PM,40,9
19-01-14,3:45:00 PM,11,5
17-07-13,3:45:00 PM,1,10
24-11-16,4:11:00 PM,18,7
23-04-16,12:31:00 PM,3,6
13-08-15,1:55:00 PM,15,1
17-05-16,9:28:00 AM,21,3
07-08-16,2:33:00 PM,3,10
11-09-14,9:19:00 AM,24,9
13-11-14,4:44:00 PM,54,4
31-08-15,3:13:00 PM,43,2
30-09-13,3:23:00 PM,32,1
01-11-16,10:20:00 AM,41,5
19-05-16,9:27:00 AM,57,3
14-05-16,11:11:00 AM,56,2
27-01-13,1:09:00 PM,51,5
12-07-16,9:54:00 AM,28,9
03-01-15,10:43:00 AM,45,4
26-07-14,1:37:00 PM,11,3
09-09-16,12:43:00 PM,50,10
12-01-14,2:18:00 PM,11,4
21-09-15,10:58:00 AM,1,6
15-11-15,3:03:00 PM,23,7
17-10-14,9:33:00 AM,4,8
09-03-16,12:25:00 PM,39,3
07-12-15,2:52:00 PM,11,3
16-04-15,1:22:00 PM,24,8
11-09-14,11:23:00 AM,13,4
27-01-16,11:12:00 AM,1,3
28-05-16,1:02:00 PM,44,3
03-04-15,12:31:00 PM,27,3
19-03-16,10:50:00 AM,12,4
29-06-15,12:21:00 PM,37,2
07-09-15,9:40:00 AM,1,10
06-01-13,3:52:00 PM,27,3
26-07-14,12:01:00 PM,43,5
05-12-14,1:13:00 PM,9,8
17-11-15,2:28:00 PM,42,5
26-04-15,12:13:00 PM,32,6
26-09-13,2:49:00 PM,44,9
09-07-14,4:54:00 PM,39,5
14-12-14,11:07:00 AM,13,5
19-03-14,9:14:00 AM,47,2
26-02-15,10:41:00 AM,17,9
26-06-16,9:19:00 AM,16,9
11-03-14,9:25:00 AM,43,4
12-10-15,10:18:00 AM,44,8
09-04-14,10:52:00 AM,57,3
14-11-14,3:50:00 PM,13,5
24-01-14,12:55:00 PM,31,3
24-11-14,1:25:00 PM,23,5
08-05-15,3:13:00 PM,11,3
06-10-13,2:32:00 PM,44,4
26-05-13,3:06:00 PM,53,3
15-10-14,12:03:00 PM,25,10
